"","GENEID","Alignment.x","Rank.x","baseMean.x","Alignment.y","Rank.y","baseMean.y","logMeanExpression","RankDiff","MeanRank","num.trans"
"1","ENSMUSG00000062518","STAR",1055,362.343158064694,"HISAT2",586,209.619092839505,6.14665619454993,469,820.5,1
"2","ENSMUSG00000078498","STAR",902,272.904452807007,"HISAT2",678,144.379357033288,5.84381722423247,224,790,2
"3","ENSMUSG00000093898","STAR",305,82.5436537951315,"HISAT2",499,105.932026395008,4.90904298089404,-194,402,1
"4","ENSMUSG00000095661","STAR",748,284.407791185103,"HISAT2",578,185.711150161358,5.93294352781098,170,663,2
"5","ENSMUSG00000096793","STAR",572,208.604751209382,"HISAT2",414,144.825600628087,5.6384171283206,158,493,8
"6","ENSMUSG00000096904","STAR",586,217.610006330121,"HISAT2",429,169.034965728384,5.71084907794482,157,507.5,2
"7","ENSMUSG00000079410","STAR",269,158.203946003014,"HISAT2",400,118.839345116647,5.38276705027424,-131,334.5,1
"8","ENSMUSG00000090872","STAR",334,105.160311329045,"HISAT2",205,75.354756624972,4.96170894814522,129,269.5,NA
"9","ENSMUSG00000073490","STAR",196,71.1537444195158,"HISAT2",306,55.2728742587539,4.5929982227801,-110,251,NA
"10","ENSMUSG00000047905","STAR",1371,2045.82599916629,"HISAT2",1273,2252.75564349906,8.06218183696902,98,1322,NA
"11","ENSMUSG00000034620","STAR",1011,958.750612688944,"HISAT2",916,891.590055442299,7.24746914185832,95,963.5,NA
"12","ENSMUSG00000048709","STAR",1101,782.411695047,"HISAT2",1010,598.261623704867,6.98614354827256,91,1055.5,NA
"13","ENSMUSG00000046993","STAR",1324,2552.82975386506,"HISAT2",1235,1933.5743072985,8.16610742957687,89,1279.5,1
"14","ENSMUSG00000056608","STAR",1307,3343.94044848557,"HISAT2",1220,2921.94674724004,8.47739438619789,87,1263.5,NA
"15","ENSMUSG00000096827","STAR",677,409.367605636982,"HISAT2",591,370.895581014196,6.3882510988241,86,634,2
"16","ENSMUSG00000115852","STAR",749,328.777148449488,"HISAT2",834,266.162242596038,6.13525806857823,-85,791.5,NA
"17","ENSMUSG00000060680","STAR",1322,3994.2661010089,"HISAT2",1238,3217.33632592313,8.63104571520491,84,1280,1
"18","ENSMUSG00000057829","STAR",754,360.338774129518,"HISAT2",671,294.504698516876,6.22967624827195,83,712.5,NA
"19","ENSMUSG00000072949","STAR",752,248.840030712867,"HISAT2",670,226.024841526638,5.8912365361301,82,711,4
"20","ENSMUSG00000034312","STAR",1158,944.402681884112,"HISAT2",1076,926.956737481538,7.24984105205898,82,1117,NA
"21","ENSMUSG00000097354","STAR",1031,569.259484739062,"HISAT2",950,558.362669950313,6.74340033529337,81,990.5,NA
"22","ENSMUSG00000021091","STAR",131,22.7744659700487,"HISAT2",52,18.84633087586,3.47189289108636,79,91.5,1
"23","ENSMUSG00000095854","STAR",676,409.367605636982,"HISAT2",599,368.968993804252,6.38663030273618,77,637.5,2
"24","ENSMUSG00000084817","STAR",1201,6016.81812833142,"HISAT2",1278,4790.63782939791,9.03743082806297,-77,1239.5,NA
"25","ENSMUSG00000019817","STAR",254,623.167646518061,"HISAT2",327,556.370944560725,6.80389709958343,-73,290.5,NA
"26","ENSMUSG00000036473","STAR",1064,402.774573053755,"HISAT2",993,390.390063226988,6.39353992434319,71,1028.5,NA
"27","ENSMUSG00000055720","STAR",1403,1786.34154815768,"HISAT2",1332,1684.7492713996,7.87425086297125,71,1367.5,NA
"28","ENSMUSG00000028556","STAR",168,35.2492810024345,"HISAT2",238,36.3926260922202,3.97866420280203,-70,203,NA
"29","ENSMUSG00000027035","STAR",1039,1146.36102480163,"HISAT2",969,1143.46851379594,7.44897156183262,70,1004,NA
